Index,Date,Highway Vehicle Miles Traveled - All Systems,Highway Vehicle Miles Traveled - Total Rural,Highway Vehicle Miles Traveled - Other Rural,Highway Vehicle Miles Traveled - Rural Other Arterial,Highway Vehicle Miles Traveled - Rural Interstate
303,4/1/1972 0:00,,,,,
304,5/1/1972 0:00,,,,,
305,6/1/1972 0:00,,,,,
306,7/1/1972 0:00,,,,,
307,8/1/1972 0:00,,,,,
308,9/1/1972 0:00,,,,,
309,10/1/1972 0:00,,,,,
310,11/1/1972 0:00,,,,,
311,12/1/1972 0:00,,,,,
312,1/1/1973 0:00,,,,,
313,2/1/1973 0:00,,,,,
314,3/1/1973 0:00,,,,,
315,4/1/1973 0:00,,,,,
316,5/1/1973 0:00,,,,,
317,6/1/1973 0:00,,,,,
318,7/1/1973 0:00,,,,,
319,8/1/1973 0:00,,,,,
320,9/1/1973 0:00,,,,,
321,10/1/1973 0:00,,,,,
322,11/1/1973 0:00,,,,,
323,12/1/1973 0:00,,,,,
324,1/1/1974 0:00,,,,,
325,2/1/1974 0:00,,,,,
326,3/1/1974 0:00,,,,,
327,4/1/1974 0:00,,,,,
328,5/1/1974 0:00,,,,,
329,6/1/1974 0:00,,,,,
330,7/1/1974 0:00,,,,,
331,8/1/1974 0:00,,,,,
332,9/1/1974 0:00,,,,,
333,10/1/1974 0:00,,,,,
334,11/1/1974 0:00,,,,,
335,12/1/1974 0:00,,,,,
336,1/1/1975 0:00,,,,,
337,2/1/1975 0:00,,,,,
338,3/1/1975 0:00,,,,,
339,4/1/1975 0:00,,,,,
340,5/1/1975 0:00,,,,,
341,6/1/1975 0:00,,,,,
342,7/1/1975 0:00,,,,,
343,8/1/1975 0:00,,,,,
344,9/1/1975 0:00,,,,,
345,10/1/1975 0:00,,,,,
346,11/1/1975 0:00,,,,,
347,12/1/1975 0:00,,,,,
348,1/1/1976 0:00,,,,,
349,2/1/1976 0:00,,,,,
350,3/1/1976 0:00,,,,,
351,4/1/1976 0:00,,,,,
352,5/1/1976 0:00,,,,,
353,6/1/1976 0:00,,,,,
354,7/1/1976 0:00,,,,,
355,8/1/1976 0:00,,,,,
356,9/1/1976 0:00,,,,,
357,10/1/1976 0:00,,,,,
358,11/1/1976 0:00,,,,,
359,12/1/1976 0:00,,,,,
360,1/1/1977 0:00,,,,,
361,2/1/1977 0:00,,,,,
362,3/1/1977 0:00,,,,,
363,4/1/1977 0:00,,,,,
364,5/1/1977 0:00,,,,,
365,6/1/1977 0:00,,,,,
366,7/1/1977 0:00,,,,,
367,8/1/1977 0:00,,,,,
368,9/1/1977 0:00,,,,,
369,10/1/1977 0:00,,,,,
370,11/1/1977 0:00,,,,,
371,12/1/1977 0:00,,,,,
372,1/1/1978 0:00,,,,,
373,2/1/1978 0:00,,,,,
374,3/1/1978 0:00,,,,,
375,4/1/1978 0:00,,,,,
376,5/1/1978 0:00,,,,,
377,6/1/1978 0:00,,,,,
378,7/1/1978 0:00,,,,,
379,8/1/1978 0:00,,,,,
380,9/1/1978 0:00,,,,,
381,10/1/1978 0:00,,,,,
382,11/1/1978 0:00,,,,,
383,12/1/1978 0:00,,,,,
384,1/1/1979 0:00,,,,,
385,2/1/1979 0:00,,,,,
386,3/1/1979 0:00,,,,,
387,4/1/1979 0:00,,,,,
388,5/1/1979 0:00,,,,,
389,6/1/1979 0:00,,,,,
390,7/1/1979 0:00,,,,,
391,8/1/1979 0:00,,,,,
392,9/1/1979 0:00,,,,,
393,10/1/1979 0:00,,,,,
394,11/1/1979 0:00,,,,,
395,12/1/1979 0:00,,,,,
396,1/1/1980 0:00,,,,,
397,2/1/1980 0:00,,,,,
398,3/1/1980 0:00,,,,,
399,4/1/1980 0:00,,,,,
400,5/1/1980 0:00,,,,,
401,6/1/1980 0:00,,,,,
402,7/1/1980 0:00,,,,,
403,8/1/1980 0:00,,,,,
404,9/1/1980 0:00,,,,,
405,10/1/1980 0:00,,,,,
406,11/1/1980 0:00,,,,,
407,12/1/1980 0:00,,,,,
408,1/1/1981 0:00,,,,,
409,2/1/1981 0:00,,,,,
410,3/1/1981 0:00,,,,,
411,4/1/1981 0:00,,,,,
412,5/1/1981 0:00,,,,,
413,6/1/1981 0:00,,,,,
414,7/1/1981 0:00,,,,,
415,8/1/1981 0:00,,,,,
416,9/1/1981 0:00,,,,,
417,10/1/1981 0:00,,,,,
418,11/1/1981 0:00,,,,,
419,12/1/1981 0:00,,,,,
420,1/1/1982 0:00,,,,,
421,2/1/1982 0:00,,,,,
422,3/1/1982 0:00,,,,,
423,4/1/1982 0:00,,,,,
424,5/1/1982 0:00,,,,,
425,6/1/1982 0:00,,,,,
426,7/1/1982 0:00,,,,,
427,8/1/1982 0:00,,,,,
428,9/1/1982 0:00,,,,,
429,10/1/1982 0:00,,,,,
430,11/1/1982 0:00,,,,,
431,12/1/1982 0:00,,,,,
432,1/1/1983 0:00,,,,,
433,2/1/1983 0:00,,,,,
434,3/1/1983 0:00,,,,,
435,4/1/1983 0:00,,,,,
436,5/1/1983 0:00,,,,,
437,6/1/1983 0:00,,,,,
438,7/1/1983 0:00,,,,,
439,8/1/1983 0:00,,,,,
440,9/1/1983 0:00,,,,,
441,10/1/1983 0:00,,,,,
442,11/1/1983 0:00,,,,,
443,12/1/1983 0:00,,,,,
444,1/1/1984 0:00,,,,,
445,2/1/1984 0:00,,,,,
446,3/1/1984 0:00,,,,,
447,4/1/1984 0:00,,,,,
448,5/1/1984 0:00,,,,,
449,6/1/1984 0:00,,,,,
450,7/1/1984 0:00,,,,,
451,8/1/1984 0:00,,,,,
452,9/1/1984 0:00,,,,,
453,10/1/1984 0:00,,,,,
454,11/1/1984 0:00,,,,,
455,12/1/1984 0:00,,,,,
456,1/1/1985 0:00,,,,,
457,2/1/1985 0:00,,,,,
458,3/1/1985 0:00,,,,,
459,4/1/1985 0:00,,,,,
460,5/1/1985 0:00,,,,,
461,6/1/1985 0:00,,,,,
462,7/1/1985 0:00,,,,,
463,8/1/1985 0:00,,,,,
464,9/1/1985 0:00,,,,,
465,10/1/1985 0:00,,,,,
466,11/1/1985 0:00,,,,,
467,12/1/1985 0:00,,,,,
468,1/1/1986 0:00,,,,,
469,2/1/1986 0:00,,,,,
470,3/1/1986 0:00,,,,,
471,4/1/1986 0:00,,,,,
472,5/1/1986 0:00,,,,,
473,6/1/1986 0:00,,,,,
474,7/1/1986 0:00,,,,,
475,8/1/1986 0:00,,,,,
476,9/1/1986 0:00,,,,,
477,10/1/1986 0:00,,,,,
478,11/1/1986 0:00,,,,,
479,12/1/1986 0:00,,,,,
480,1/1/1987 0:00,,,,,
481,2/1/1987 0:00,,,,,
482,3/1/1987 0:00,,,,,
483,4/1/1987 0:00,,,,,
484,5/1/1987 0:00,,,,,
485,6/1/1987 0:00,,,,,
486,7/1/1987 0:00,,,,,
487,8/1/1987 0:00,,,,,
488,9/1/1987 0:00,,,,,
489,10/1/1987 0:00,,,,,
490,11/1/1987 0:00,,,,,
491,12/1/1987 0:00,,,,,
492,1/1/1988 0:00,,,,,
493,2/1/1988 0:00,,,,,
494,3/1/1988 0:00,,,,,
495,4/1/1988 0:00,,,,,
496,5/1/1988 0:00,,,,,
497,6/1/1988 0:00,,,,,
498,7/1/1988 0:00,,,,,
499,8/1/1988 0:00,,,,,
500,9/1/1988 0:00,,,,,
501,10/1/1988 0:00,,,,,
502,11/1/1988 0:00,,,,,
503,12/1/1988 0:00,,,,,
504,1/1/1989 0:00,,,,,
505,2/1/1989 0:00,,,,,
506,3/1/1989 0:00,,,,,
507,4/1/1989 0:00,,,,,
508,5/1/1989 0:00,,,,,
509,6/1/1989 0:00,,,,,
510,7/1/1989 0:00,,,,,
511,8/1/1989 0:00,,,,,
512,9/1/1989 0:00,,,,,
513,10/1/1989 0:00,,,,,
514,11/1/1989 0:00,,,,,
515,12/1/1989 0:00,,,,,
516,1/1/1990 0:00,,,,,
517,2/1/1990 0:00,,,,,
518,3/1/1990 0:00,,,,,
519,4/1/1990 0:00,,,,,
520,5/1/1990 0:00,,,,,
521,6/1/1990 0:00,,,,,
522,7/1/1990 0:00,,,,,
523,8/1/1990 0:00,,,,,
524,9/1/1990 0:00,,,,,
525,10/1/1990 0:00,,,,,
526,11/1/1990 0:00,,,,,
527,12/1/1990 0:00,,,,,
528,1/1/1991 0:00,,,,,
529,2/1/1991 0:00,,,,,
530,3/1/1991 0:00,,,,,
531,4/1/1991 0:00,,,,,
532,5/1/1991 0:00,,,,,
